"object_id","volume","region_name","lga"
2406,796,"SOUTH WESTERN REGION","COLAC OTWAY"
2407,13000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2408,3100,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
2409,3000,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
2410,258,"WESTERN REGION","YARRIAMBIACK"
2411,138,"WESTERN REGION","HORSHAM"
2412,8400,"METROPOLITAN NORTH WEST REGION","YARRA"
2413,10000,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2414,6700,"WESTERN REGION","MOORABOOL"
2415,694,"NORTHERN REGION","MOUNT ALEXANDER"
2416,205,"NORTHERN REGION","BULOKE"
2417,10000,"METROPOLITAN NORTH WEST REGION","DAREBIN"
2418,6600,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2419,11000,"METROPOLITAN NORTH WEST REGION","MARIBYRNONG"
2420,10000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2421,11000,"METROPOLITAN NORTH WEST REGION","HUME"
2422,10000,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2423,12000,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2424,7800,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2425,8100,"EASTERN REGION","BAW BAW"
2426,12000,"EASTERN REGION","BAW BAW"
2427,3500,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2428,16000,"EASTERN REGION","LATROBE"
2429,12000,"EASTERN REGION","LATROBE"
2430,752,"EASTERN REGION","WELLINGTON"
2431,7600,"EASTERN REGION","LATROBE"
2432,2100,"EASTERN REGION","SOUTH GIPPSLAND"
2433,19000,"SOUTH WESTERN REGION","GEELONG"
2434,3100,"NORTHERN REGION","BENDIGO"
2435,26000,"METROPOLITAN NORTH WEST REGION","BANYULE"
2436,23000,"METROPOLITAN NORTH WEST REGION","BANYULE"
2437,25000,"METROPOLITAN NORTH WEST REGION","MORELAND"
2438,26000,"METROPOLITAN NORTH WEST REGION","MORELAND"
2439,19000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2440,10000,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
